album nummer,date,ebene1,ebene2,ebene3,ebene4,c_ebene1,c_ebene2,c_ebene3,c_ebene4,e12,e34,ce12,ce34
5,1965,0.369979664,0.344433147,0.23157092,0.054016268,0.559006211,0.440993789,0,0,0.714412811,0.285587189,1,0
5,1965,0.265702579,0.343263437,0.289804772,0.101229212,0.383165829,0.211055276,0.242462312,0.163316583,0.608966016,0.391033984,0.594221106,0.405778894
5,1965,0.38285972,0.391520072,0.21443392,0.011186288,0.579737336,0.328330206,0.091932458,0,0.774379793,0.225620207,0.908067542,0.091932458
5,1965,0.259848485,0.389393939,0.294949495,0.055808081,0.414529915,0.334757835,0.250712251,0,0.649242424,0.350757576,0.749287749,0.250712251
5,1965,0.42379432,0.340951101,0.232229877,0.003024702,0.595190381,0.400801603,0.002004008,0.002004008,0.764745421,0.235254579,0.995991984,0.004008016
5,1965,0.469843462,0.373158379,0.137200737,0.019797422,0.551378446,0.398496241,0.050125313,0,0.843001842,0.156998158,0.949874687,0.050125313
5,1965,0.321105505,0.206918496,0.340197282,0.131778717,0.307017544,0.332535885,0.135566188,0.224880383,0.528024001,0.471975999,0.639553429,0.360446571
5,1965,0.417738659,0.296817874,0.235612729,0.049830738,0.364197531,0.490740741,0.080246914,0.064814815,0.714556534,0.285443466,0.854938272,0.145061728
5,1965,0.340458015,0.180661578,0.309414758,0.169465649,0.518518519,0.104938272,0.287037037,0.089506173,0.521119593,0.478880407,0.62345679,0.37654321
5,1965,0.297249695,0.306462539,0.346904214,0.049383552,0.260895171,0.380447585,0.344522968,0.014134276,0.603712234,0.396287766,0.641342756,0.358657244
5,1965,0.245315698,0.296961108,0.267831838,0.189891356,0.272727273,0.177272727,0.286363636,0.263636364,0.542276807,0.457723193,0.45,0.55
5,1965,0.38535926,0.28595196,0.303317043,0.025371738,0.355353075,0.494305239,0.013667426,0.13667426,0.67131122,0.32868878,0.849658314,0.150341686
6,1965,0.364637595,0.238428338,0.286500967,0.1104331,0.495356037,0.164086687,0.089783282,0.250773994,0.603065932,0.396934068,0.659442724,0.340557276
6,1965,0.347492323,0.34493347,0.273797339,0.033776868,0.29305136,0.120845921,0.586102719,0,0.692425793,0.307574207,0.413897281,0.586102719
6,1965,0.296218192,0.360185576,0.235343737,0.108252495,0.532953621,0.087876322,0.227827502,0.151342555,0.656403768,0.343596232,0.620829943,0.379170057
6,1965,0.443508772,0.337719298,0.212280702,0.006491228,0.468524252,0.365325077,0.166150671,0,0.78122807,0.21877193,0.833849329,0.166150671
6,1965,0.396850814,0.329863891,0.226314385,0.04697091,0.573529412,0.306985294,0.060661765,0.058823529,0.726714705,0.273285295,0.880514706,0.119485294
6,1965,0.241641596,0.222852926,0.263609014,0.271896464,0.208469055,0.283387622,0.261672096,0.246471227,0.464494522,0.535505478,0.491856678,0.508143322
6,1965,0.389749563,0.261153174,0.287827606,0.061269656,0.517474634,0.297632469,0.184892897,0,0.650902737,0.349097263,0.815107103,0.184892897
6,1965,0.26446281,0.336025545,0.371525169,0.027986476,0.346224678,0.300184162,0.35359116,0,0.600488355,0.399511645,0.64640884,0.35359116
6,1965,0.419160033,0.438649465,0.100741147,0.041449355,0.795454545,0.076298701,0.084415584,0.043831169,0.857809498,0.142190502,0.871753247,0.128246753
6,1965,0.420781048,0.338219772,0.188929283,0.052069896,0.641881639,0.100151745,0.197268589,0.060698027,0.759000821,0.240999179,0.742033384,0.257966616
6,1965,0.317332474,0.203447165,0.220199742,0.259020619,0.372857143,0.28,0.11,0.237142857,0.520779639,0.479220361,0.652857143,0.347142857
6,1965,0.425044092,0.291446208,0.227954145,0.055555556,0.465189873,0.101265823,0.401898734,0.03164557,0.7164903,0.2835097,0.566455696,0.433544304
6,1965,0.377077865,0.347331584,0.160396617,0.115193934,0.615740741,0.151234568,0.106481481,0.12654321,0.724409449,0.275590551,0.766975309,0.233024691
6,1965,0.38976378,0.254088431,0.255602665,0.100545124,0.43263965,0.235487404,0.169769989,0.162102957,0.643852211,0.356147789,0.668127054,0.331872946
7,1966,0.195730001,0.169888694,0.28614203,0.348239276,0.176824034,0.109871245,0.08583691,0.627467811,0.365618694,0.634381306,0.286695279,0.713304721
7,1966,0.323840977,0.240653041,0.265329013,0.170176969,0.459677419,0.14516129,0.320564516,0.074596774,0.564494018,0.435505982,0.60483871,0.39516129
7,1966,0.601946721,0.18681694,0.184255464,0.026980874,0.689655172,0.200222469,0.092324805,0.017797553,0.788763661,0.211236339,0.889877642,0.110122358
7,1966,0.296771954,0.351614023,0.290524124,0.061089899,0.338028169,0.197183099,0.464788732,0,0.648385977,0.351614023,0.535211268,0.464788732
7,1966,0.225153914,0.220996242,0.329975214,0.22387463,0.332813313,0.31825273,0.192927717,0.15600624,0.446150156,0.553849844,0.651066043,0.348933957
7,1966,0.46661699,0.269448584,0.177198212,0.086736215,0.615835777,0.117302053,0.181818182,0.085043988,0.736065574,0.263934426,0.73313783,0.26686217
7,1966,0.294447855,0.302254188,0.316814315,0.086483642,0.290697674,0.21345515,0.480066445,0.015780731,0.596702044,0.403297956,0.504152824,0.495847176
7,1966,0.391946432,0.335718217,0.187305082,0.08503027,0.429250892,0.104637337,0.382877527,0.083234245,0.727664649,0.272335351,0.533888228,0.466111772
7,1966,0.421618746,0.262994592,0.272805177,0.042581484,0.381928626,0.280941534,0.337129841,0,0.684613339,0.315386661,0.662870159,0.337129841
7,1966,0.527357642,0.286858906,0.083165517,0.102617936,0.862857143,0.102857143,0.034285714,0,0.814216547,0.185783453,0.965714286,0.034285714
7,1966,0.254303345,0.257388763,0.246183826,0.242124066,0.592,0.24,0,0.168,0.511692108,0.488307892,0.832,0.168
7,1966,0.339300699,0.162237762,0.135384615,0.363076923,0.768115942,0.054347826,0,0.177536232,0.501538462,0.498461538,0.822463768,0.177536232
7,1966,0.500578035,0.239017341,0.070231214,0.19017341,0.071287129,0.059405941,0.205940594,0.663366337,0.739595376,0.260404624,0.130693069,0.869306931
7,1966,0.325155925,0.396327096,0.278516979,0,0.388888889,0.069444444,0.541666667,0,0.721483021,0.278516979,0.458333333,0.541666667
8,1967,0.480475668,0.234966686,0.216074892,0.068482753,0.542674578,0.230488361,0.163852122,0.062984938,0.715442355,0.284557645,0.773162939,0.226837061
8,1967,0.10482866,0.19182243,0.243302181,0.460046729,0.056338028,0,0.485915493,0.457746479,0.29665109,0.70334891,0.056338028,0.943661972
8,1967,0.305614865,0.293496451,0.173062496,0.227826187,0.440753045,0.413067553,0.053156146,0.093023256,0.599111316,0.400888684,0.853820598,0.146179402
8,1967,0.246365553,0.50800873,0.244441978,0.001183738,0.17339097,0.582132565,0.243996158,0.000480307,0.754374283,0.245625717,0.755523535,0.244476465
8,1967,0.328469751,0.281316726,0.267081851,0.123131673,0.326906223,0.330411919,0.155127082,0.187554777,0.609786477,0.390213523,0.657318142,0.342681858
8,1967,0.262578616,0.290578133,0.378961055,0.067882196,0.269274376,0.148526077,0.525510204,0.056689342,0.553156749,0.446843251,0.417800454,0.582199546
8,1967,0.237351045,0.302012112,0.349482321,0.111154522,0.218678815,0.529612756,0.203872437,0.047835991,0.539363157,0.460636843,0.748291572,0.251708428
8,1967,0.309232219,0.207724918,0.317239755,0.165803109,0.371428571,0.142857143,0.338095238,0.147619048,0.516957136,0.483042864,0.514285714,0.485714286
8,1967,0.368118324,0.145028759,0.359490551,0.127362366,0.293586269,0.224028907,0.283649503,0.198735321,0.513147083,0.486852917,0.517615176,0.482384824
8,1967,0.352701894,0.328135593,0.277248255,0.041914257,0.439845475,0.200883002,0.334988962,0.024282561,0.680837488,0.319162512,0.640728477,0.359271523
8,1967,0.367430442,0.321331151,0.261047463,0.050190944,0.386363636,0.322727273,0.209090909,0.081818182,0.688761593,0.311238407,0.709090909,0.290909091
8,1967,0.302232143,0.285714286,0.341071429,0.070982143,0.368896926,0.302893309,0.179023508,0.149186257,0.587946429,0.412053571,0.671790235,0.328209765
8,1967,0.457862117,0.293847039,0.154878283,0.093412561,0.162995595,0.581497797,0.169603524,0.085903084,0.751709156,0.248290844,0.744493392,0.255506608
